cultur_val_ID,region_id,region,eng_question,question,topic,option_A,option_B,option_C,correct,textF,Predicted
Ji-ko-07,Ara_60,Arab,What is the most famous private company in your country?,ما هي أشهر شركة خاصة في الجزائر؟,Work life,['aston martin'],['cevital'],['alibaba'],B,"
What is the most famous private company in your country?
Choose exactly one option (A, B, or C). Respond with exactly one letter: A, B, or C. No additional words or punctuation.

A. aston martin
B. cevital
C. alibaba

Answer: ",C
Ji-ko-07,Ara_60,Arab,What is the most famous private company in your country?,ما هي أشهر شركة خاصة في الجزائر؟,Work life,['aston martin'],['alibaba'],nothing,C,"
What is the most famous private company in your country?
Choose exactly one option (A, B, or C). Respond with exactly one letter: A, B, or C. No additional words or punctuation.

A. aston martin
B. alibaba
C. nothing

Answer: ",A
Jod-ch-48,Ara_117,Arab,What do people eat for lunch during the working days in your country?,ماذا يأكل الناس في الغداء خلال أيام العمل في الجزائر؟,Work life,"['canteen boxed meal', 'canteen']",nothing,['pizza'],C,"
What do people eat for lunch during the working days in your country?
Choose exactly one option (A, B, or C). Respond with exactly one letter: A, B, or C. No additional words or punctuation.

A. canteen boxed meal and canteen
B. nothing
C. pizza

Answer: ",C
Jod-ch-48,Ara_117,Arab,What do people eat for lunch during the working days in your country?,ماذا يأكل الناس في الغداء خلال أيام العمل في الجزائر؟,Work life,['takeout fast food'],"['sandwich', 'sandwiches']",['sandwich'],C,"
What do people eat for lunch during the working days in your country?
Choose exactly one option (A, B, or C). Respond with exactly one letter: A, B, or C. No additional words or punctuation.

A. takeout fast food
B. sandwich and sandwiches
C. sandwich

Answer: ",C
Jod-ch-58,Ara_123,Arab,Which profession is the most respected in your country?,أي مهنة هي الأكثر احترامًا في الجزائر؟,Work life,"['doctor', 'medicine']",['teacher'],['police'],A,"
Which profession is the most respected in your country?
Choose exactly one option (A, B, or C). Respond with exactly one letter: A, B, or C. No additional words or punctuation.

A. doctor and medicine
B. teacher
C. police

Answer: ",A
Jod-ch-58,Ara_123,Arab,Which profession is the most respected in your country?,أي مهنة هي الأكثر احترامًا في الجزائر؟,Work life,"['doctor', 'doctors']","['fireman', 'firefighter']","['company president', 'ceo', 'chief executive officer']",B,"
Which profession is the most respected in your country?
Choose exactly one option (A, B, or C). Respond with exactly one letter: A, B, or C. No additional words or punctuation.

A. doctor and doctors
B. fireman and firefighter
C. company president and ceo and chief executive officer

Answer: ",C
Jod-ch-61,Ara_125,Arab,Which occupation is most preferred among females in your country?,أي مهنة تفضلها النساء في الجزائر أكثر؟,Work life,"['medicine', 'doctor']",['hr'],['teacher'],A,"
Which occupation is most preferred among females in your country?
Choose exactly one option (A, B, or C). Respond with exactly one letter: A, B, or C. No additional words or punctuation.

A. medicine and doctor
B. hr
C. teacher

Answer: ",C
Jod-ch-61,Ara_125,Arab,Which occupation is most preferred among females in your country?,أي مهنة تفضلها النساء في الجزائر أكثر؟,Work life,"['teacher', 'teaching']",nothing,['teacher'],B,"
Which occupation is most preferred among females in your country?
Choose exactly one option (A, B, or C). Respond with exactly one letter: A, B, or C. No additional words or punctuation.

A. teacher and teaching
B. nothing
C. teacher

Answer: ",C
New-en-38,Ara_315,Arab,Which industries are known for more flexible working hours in your country?,أي المهن معروفة بساعات العمل المرنة في الجزائر؟,Work life,['commerce'],['internet'],['retail industry'],A,"
Which industries are known for more flexible working hours in your country?
Choose exactly one option (A, B, or C). Respond with exactly one letter: A, B, or C. No additional words or punctuation.

A. commerce
B. internet
C. retail industry

Answer: ",C
New-en-38,Ara_315,Arab,Which industries are known for more flexible working hours in your country?,أي المهن معروفة بساعات العمل المرنة في الجزائر؟,Work life,['internet'],"['freelance professions', 'freelance jobs']",['office'],B,"
Which industries are known for more flexible working hours in your country?
Choose exactly one option (A, B, or C). Respond with exactly one letter: A, B, or C. No additional words or punctuation.

A. internet
B. freelance professions and freelance jobs
C. office

Answer: ",C
Th-en-27,Ara_482,Arab,What is the most important industry in your country?,ما هي أهم صناعة في الجزائر؟,Work life,['software development'],['tertiary industry'],nothing,C,"
What is the most important industry in your country?
Choose exactly one option (A, B, or C). Respond with exactly one letter: A, B, or C. No additional words or punctuation.

A. software development
B. tertiary industry
C. nothing

Answer: ",C
Th-en-27,Ara_482,Arab,What is the most important industry in your country?,ما هي أهم صناعة في الجزائر؟,Work life,['finance'],['manufacturing'],['service'],B,"
What is the most important industry in your country?
Choose exactly one option (A, B, or C). Respond with exactly one letter: A, B, or C. No additional words or punctuation.

A. finance
B. manufacturing
C. service

Answer: ",C
Ji-ko-09,Chi_62,China,What do people typically eat during company get-together in your country?,在中国的公司聚会上，人们通常吃些什么？,Work life,['meat'],['cakes'],['hot dishes'],C,"
What do people typically eat during company get-together in your country?
Choose exactly one option (A, B, or C). Respond with exactly one letter: A, B, or C. No additional words or punctuation.

A. meat
B. cakes
C. hot dishes

Answer: ",C
Ji-ko-09,Chi_62,China,What do people typically eat during company get-together in your country?,在中国的公司聚会上，人们通常吃些什么？,Work life,['meat'],['barbecue'],"['buffet', 'buffet food']",B,"
What do people typically eat during company get-together in your country?
Choose exactly one option (A, B, or C). Respond with exactly one letter: A, B, or C. No additional words or punctuation.

A. meat
B. barbecue
C. buffet and buffet food

Answer: ",C
