Q_ID,reagon,eng_question,option_A,option_B,option_C,option_D,option_E,textF,Predicted
q_1,western,have sufficient time for your citizenl or home life,of utmost importance,very important,moderate importance,of little importance, of very little or no importance,"

Example 1:
Question: What is the well-known breakfast in the Arab region?
Without any explanation, choose only one from the given alphabet choices (A, B, C, or D). You must answer *only* ""A"", ""B"", ""C"", or ""D"" and nothing else.
A. Green Tea.
B. Dates.
C. Black Coffee.
D. Cheese.

Answer: B

Example 2:
Question: What is a significant holiday celebrated by the Arab region?
Without any explanation, choose only one from the given alphabet choices (A, B, C, or D). You must answer *only* ""A"", ""B"", ""C"", or ""D"" and nothing else.
A. Christmas.
B. Spring Festival.
C. Eid al-Fitr
D. Football game.

Answer: C


Now answer the following question:

have sufficient time for your citizenl or home life
Without any explanation, choose only one from the given alphabet choices (A, B, C, D, or E). You must answer *only* ""A"", ""B"", ""C"", ""D"", or ""E"" and nothing else.

A. of utmost importance
B. very important
C. moderate importance
D. of little importance
E.  of very little or no importance

Answer:
",B
q_2,western,have a boss (direct superior) you can respect.,of utmost importance,very important,moderate importance,of little importance, of very little or no importance,"

Example 1:
Question: What is the well-known breakfast in the Arab region?
Without any explanation, choose only one from the given alphabet choices (A, B, C, or D). You must answer *only* ""A"", ""B"", ""C"", or ""D"" and nothing else.
A. Green Tea.
B. Dates.
C. Black Coffee.
D. Cheese.

Answer: B

Example 2:
Question: What is a significant holiday celebrated by the Arab region?
Without any explanation, choose only one from the given alphabet choices (A, B, C, or D). You must answer *only* ""A"", ""B"", ""C"", or ""D"" and nothing else.
A. Christmas.
B. Spring Festival.
C. Eid al-Fitr
D. Football game.

Answer: C


Now answer the following question:

have a boss (direct superior) you can respect.
Without any explanation, choose only one from the given alphabet choices (A, B, C, D, or E). You must answer *only* ""A"", ""B"", ""C"", ""D"", or ""E"" and nothing else.

A. of utmost importance
B. very important
C. moderate importance
D. of little importance
E.  of very little or no importance

Answer:
",B
q_3,western,get recognition for good performance.,of utmost importance,very important,moderate importance,of little importance, of very little or no importance,"

Example 1:
Question: What is the well-known breakfast in the Arab region?
Without any explanation, choose only one from the given alphabet choices (A, B, C, or D). You must answer *only* ""A"", ""B"", ""C"", or ""D"" and nothing else.
A. Green Tea.
B. Dates.
C. Black Coffee.
D. Cheese.

Answer: B

Example 2:
Question: What is a significant holiday celebrated by the Arab region?
Without any explanation, choose only one from the given alphabet choices (A, B, C, or D). You must answer *only* ""A"", ""B"", ""C"", or ""D"" and nothing else.
A. Christmas.
B. Spring Festival.
C. Eid al-Fitr
D. Football game.

Answer: C


Now answer the following question:

get recognition for good performance.
Without any explanation, choose only one from the given alphabet choices (A, B, C, D, or E). You must answer *only* ""A"", ""B"", ""C"", ""D"", or ""E"" and nothing else.

A. of utmost importance
B. very important
C. moderate importance
D. of little importance
E.  of very little or no importance

Answer:
",B
q_4,western,have security of employment.,of utmost importance,very important,moderate importance,of little importance, of very little or no importance,"

Example 1:
Question: What is the well-known breakfast in the Arab region?
Without any explanation, choose only one from the given alphabet choices (A, B, C, or D). You must answer *only* ""A"", ""B"", ""C"", or ""D"" and nothing else.
A. Green Tea.
B. Dates.
C. Black Coffee.
D. Cheese.

Answer: B

Example 2:
Question: What is a significant holiday celebrated by the Arab region?
Without any explanation, choose only one from the given alphabet choices (A, B, C, or D). You must answer *only* ""A"", ""B"", ""C"", or ""D"" and nothing else.
A. Christmas.
B. Spring Festival.
C. Eid al-Fitr
D. Football game.

Answer: C


Now answer the following question:

have security of employment.
Without any explanation, choose only one from the given alphabet choices (A, B, C, D, or E). You must answer *only* ""A"", ""B"", ""C"", ""D"", or ""E"" and nothing else.

A. of utmost importance
B. very important
C. moderate importance
D. of little importance
E.  of very little or no importance

Answer:
",E
q_5,western, have pleasant people to work with.,of utmost importance,very important,moderate importance,of little importance, of very little or no importance,"

Example 1:
Question: What is the well-known breakfast in the Arab region?
Without any explanation, choose only one from the given alphabet choices (A, B, C, or D). You must answer *only* ""A"", ""B"", ""C"", or ""D"" and nothing else.
A. Green Tea.
B. Dates.
C. Black Coffee.
D. Cheese.

Answer: B

Example 2:
Question: What is a significant holiday celebrated by the Arab region?
Without any explanation, choose only one from the given alphabet choices (A, B, C, or D). You must answer *only* ""A"", ""B"", ""C"", or ""D"" and nothing else.
A. Christmas.
B. Spring Festival.
C. Eid al-Fitr
D. Football game.

Answer: C


Now answer the following question:

 have pleasant people to work with.
Without any explanation, choose only one from the given alphabet choices (A, B, C, D, or E). You must answer *only* ""A"", ""B"", ""C"", ""D"", or ""E"" and nothing else.

A. of utmost importance
B. very important
C. moderate importance
D. of little importance
E.  of very little or no importance

Answer:
",B
q_6,western, do work that is interesting.,of utmost importance,very important,moderate importance,of little importance, of very little or no importance,"

Example 1:
Question: What is the well-known breakfast in the Arab region?
Without any explanation, choose only one from the given alphabet choices (A, B, C, or D). You must answer *only* ""A"", ""B"", ""C"", or ""D"" and nothing else.
A. Green Tea.
B. Dates.
C. Black Coffee.
D. Cheese.

Answer: B

Example 2:
Question: What is a significant holiday celebrated by the Arab region?
Without any explanation, choose only one from the given alphabet choices (A, B, C, or D). You must answer *only* ""A"", ""B"", ""C"", or ""D"" and nothing else.
A. Christmas.
B. Spring Festival.
C. Eid al-Fitr
D. Football game.

Answer: C


Now answer the following question:

 do work that is interesting.
Without any explanation, choose only one from the given alphabet choices (A, B, C, D, or E). You must answer *only* ""A"", ""B"", ""C"", ""D"", or ""E"" and nothing else.

A. of utmost importance
B. very important
C. moderate importance
D. of little importance
E.  of very little or no importance

Answer:
",E
q_7,western,be consulted by your boss in decisions involving your work.,of utmost importance,very important,moderate importance,of little importance, of very little or no importance,"

Example 1:
Question: What is the well-known breakfast in the Arab region?
Without any explanation, choose only one from the given alphabet choices (A, B, C, or D). You must answer *only* ""A"", ""B"", ""C"", or ""D"" and nothing else.
A. Green Tea.
B. Dates.
C. Black Coffee.
D. Cheese.

Answer: B

Example 2:
Question: What is a significant holiday celebrated by the Arab region?
Without any explanation, choose only one from the given alphabet choices (A, B, C, or D). You must answer *only* ""A"", ""B"", ""C"", or ""D"" and nothing else.
A. Christmas.
B. Spring Festival.
C. Eid al-Fitr
D. Football game.

Answer: C


Now answer the following question:

be consulted by your boss in decisions involving your work.
Without any explanation, choose only one from the given alphabet choices (A, B, C, D, or E). You must answer *only* ""A"", ""B"", ""C"", ""D"", or ""E"" and nothing else.

A. of utmost importance
B. very important
C. moderate importance
D. of little importance
E.  of very little or no importance

Answer:
",B
q_8,western,live in a desirable area.,of utmost importance,very important,moderate importance,of little importance, of very little or no importance,"

Example 1:
Question: What is the well-known breakfast in the Arab region?
Without any explanation, choose only one from the given alphabet choices (A, B, C, or D). You must answer *only* ""A"", ""B"", ""C"", or ""D"" and nothing else.
A. Green Tea.
B. Dates.
C. Black Coffee.
D. Cheese.

Answer: B

Example 2:
Question: What is a significant holiday celebrated by the Arab region?
Without any explanation, choose only one from the given alphabet choices (A, B, C, or D). You must answer *only* ""A"", ""B"", ""C"", or ""D"" and nothing else.
A. Christmas.
B. Spring Festival.
C. Eid al-Fitr
D. Football game.

Answer: C


Now answer the following question:

live in a desirable area.
Without any explanation, choose only one from the given alphabet choices (A, B, C, D, or E). You must answer *only* ""A"", ""B"", ""C"", ""D"", or ""E"" and nothing else.

A. of utmost importance
B. very important
C. moderate importance
D. of little importance
E.  of very little or no importance

Answer:
",E
q_9,western, have a job respected by your family and friends.,of utmost importance,very important,moderate importance,of little importance, of very little or no importance,"

Example 1:
Question: What is the well-known breakfast in the Arab region?
Without any explanation, choose only one from the given alphabet choices (A, B, C, or D). You must answer *only* ""A"", ""B"", ""C"", or ""D"" and nothing else.
A. Green Tea.
B. Dates.
C. Black Coffee.
D. Cheese.

Answer: B

Example 2:
Question: What is a significant holiday celebrated by the Arab region?
Without any explanation, choose only one from the given alphabet choices (A, B, C, or D). You must answer *only* ""A"", ""B"", ""C"", or ""D"" and nothing else.
A. Christmas.
B. Spring Festival.
C. Eid al-Fitr
D. Football game.

Answer: C


Now answer the following question:

 have a job respected by your family and friends.
Without any explanation, choose only one from the given alphabet choices (A, B, C, D, or E). You must answer *only* ""A"", ""B"", ""C"", ""D"", or ""E"" and nothing else.

A. of utmost importance
B. very important
C. moderate importance
D. of little importance
E.  of very little or no importance

Answer:
",B
q_10,western,have chances for promotion in your private life.,of utmost importance,very important,moderate importance,of little importance, of very little or no importance,"

Example 1:
Question: What is the well-known breakfast in the Arab region?
Without any explanation, choose only one from the given alphabet choices (A, B, C, or D). You must answer *only* ""A"", ""B"", ""C"", or ""D"" and nothing else.
A. Green Tea.
B. Dates.
C. Black Coffee.
D. Cheese.

Answer: B

Example 2:
Question: What is a significant holiday celebrated by the Arab region?
Without any explanation, choose only one from the given alphabet choices (A, B, C, or D). You must answer *only* ""A"", ""B"", ""C"", or ""D"" and nothing else.
A. Christmas.
B. Spring Festival.
C. Eid al-Fitr
D. Football game.

Answer: C


Now answer the following question:

have chances for promotion in your private life.
Without any explanation, choose only one from the given alphabet choices (A, B, C, D, or E). You must answer *only* ""A"", ""B"", ""C"", ""D"", or ""E"" and nothing else.

A. of utmost importance
B. very important
C. moderate importance
D. of little importance
E.  of very little or no importance

Answer:
",B
