cultur_val_ID,region_id,region,eng_question,question,topic,option_A,option_B,option_C,correct,Predicted
An-ar-36,Wes_27,Western,What is the most popular sport team in your country?,What is the most popular sport team in the UK?,Sport,"['mc algiers', 'mc alger', ""mouloudia club d'alger"", ""d'alger"", 'mca', 'mouloudia']","['manchester united', 'manchester utd', 'manchester united']",['real madrid'],B,A
An-ar-36,Wes_27,Western,What is the most popular sport team in your country?,What is the most popular sport team in the UK?,Sport,"['mc algiers', 'mc alger', ""mouloudia club d'alger"", ""d'alger"", 'mca', 'mouloudia']",['real madrid'],['liverpool'],C,A
Gu-ch-05,Wes_43,Western,What sports do seniors like the most in your country?,What sports do seniors like the most in the UK?,Sport,"['bowls', 'crown green bowls']","['football', 'soccer']",nothing,A,A
Gu-ch-05,Wes_43,Western,What sports do seniors like the most in your country?,What sports do seniors like the most in the UK?,Sport,['bowling'],"['square dance', 'square dancing']",nothing,A,A
Gu-ch-09,Wes_47,Western,What sports do women like to play the most in your country?,What sports do women like to play the most in the UK?,Sport,['dance'],['running'],"['football', 'soccer']",C,A
Gu-ch-09,Wes_47,Western,What sports do women like to play the most in your country?,What sports do women like to play the most in the UK?,Sport,['tennis'],['badminton'],nothing,A,A
Kik-in-35,Wes_153,Western,What sports were popular among people from your country during the COVID-19 pandemic?,What sports were popular among people from the UK during the COVID-19 pandemic?,Sport,nothing,['cycling'],nothing,B,B
Kik-in-35,Wes_153,Western,What sports were popular among people from your country during the COVID-19 pandemic?,What sports were popular among people from the UK during the COVID-19 pandemic?,Sport,['tennis'],['aerobics'],"['running in open spaces', 'run']",A,A
Na-ko-17,Wes_170,Western,What sports do male students enjoy during lunch time at school in your country?,What sports do male students enjoy during lunch time at school in the UK?,Sport,nothing,['basketball'],nothing,B,A
Na-ko-17,Wes_170,Western,What sports do male students enjoy during lunch time at school in your country?,What sports do male students enjoy during lunch time at school in the UK?,Sport,nothing,"['football', 'soccer']",nothing,B,A
New-ch-16,Wes_268,Western,What is the most famous sports-related movie in your country?,What is the most famous sports-related movie in the UK?,Sport,nothing,['women basketball team member no. 5'],['chariots of fire'],C,C
New-ch-16,Wes_268,Western,What is the most famous sports-related movie in your country?,What is the most famous sports-related movie in the UK?,Sport,['ferrari'],['slam dunk'],nothing,A,A
Th-en-11,Wes_475,Western,Who is the most popular sportperson in your country?,Who is the most popular sportperson in the UK?,Sport,"['toufik makhloufi', 'taoufik makhloufi']",['erling haaland'],"['ming yao', 'yao ming']",B,C
Th-en-11,Wes_475,Western,Who is the most popular sportperson in your country?,Who is the most popular sportperson in the UK?,Sport,"['yiming su', 'su yiming']",['islam slimani'],"['gary lineker', 'gary linekar']",C,A
Gu-ch-07,Chi_45,China,Who is the most famous basketball player in your country?,中国最著名的篮球运动员是谁？,Sport,nothing,nothing,"['wang zhizhi', 'zhizhi wang']",C,C
Gu-ch-07,Chi_45,China,Who is the most famous basketball player in your country?,中国最著名的篮球运动员是谁？,Sport,nothing,"['yao ming', 'ming yao']",nothing,B,B
Gu-ch-09,Chi_47,China,What sports do women like to play the most in your country?,在中国，女性最喜欢参与哪些运动？,Sport,['hockey'],['running'],['gymnastics'],B,B
Gu-ch-09,Chi_47,China,What sports do women like to play the most in your country?,在中国，女性最喜欢参与哪些运动？,Sport,['netball'],['gymnastics'],['badminton'],C,A
Kik-in-31,Chi_151,China,What is the most famous martial art sports in your country?,中国最著名的武术运动是什么？,Sport,['tai chi'],['wrestling'],['boxing'],A,A
Kik-in-31,Chi_151,China,What is the most famous martial art sports in your country?,中国最著名的武术运动是什么？,Sport,['boxing'],['five-step fist'],['karate'],B,A
Kik-in-44,Chi_159,China,What sport gets the most support from the government in your country?,在中国，哪项运动得到了政府最多的支持？,Sport,"['table tennis', 'ping pong']","['athletics', 'atheltics']",nothing,A,A
Kik-in-44,Chi_159,China,What sport gets the most support from the government in your country?,在中国，哪项运动得到了政府最多的支持？,Sport,['diving'],"['football', 'soccer']","['athletics', 'atheltics']",A,C
Kik-in-45,Chi_160,China,What sports field facilities are usually available at schools in your country?,在中国的学校通常有哪些运动场设施？,Sport,nothing,['ping pong table'],"['football pitch', 'football field', 'football', 'soccer']",B,C
Kik-in-45,Chi_160,China,What sports field facilities are usually available at schools in your country?,在中国的学校通常有哪些运动场设施？,Sport,"['soccer field', 'soccer stadium']","['basketball hoop', 'basketball court']",['tennis court'],A,B
New-az-21,Chi_249,China,Which region in your country is the most popular skiing destination?,中国哪个地区是最受欢迎的滑雪目的地？,Sport,['scotland'],['jilin songhua lake'],nothing,B,A
New-az-21,Chi_249,China,Which region in your country is the most popular skiing destination?,中国哪个地区是最受欢迎的滑雪目的地？,Sport,['jilin changbai mountain'],nothing,['tikjda'],A,C
New-en-18,Chi_311,China,What do fans bring with them when attending a live game in your country?,中国的粉丝在观看现场体育比赛时会带些什么东西？,Sport,"['karkabou', 'qraqeb', 'garagab', 'krakeb']",['sports clothing'],['snacks'],C,A
New-en-18,Chi_311,China,What do fans bring with them when attending a live game in your country?,中国的粉丝在观看现场体育比赛时会带些什么东西？,Sport,"['flag', 'flags']","['darbuka', 'goblet drum', 'derbouka', 'darbouka']",['water'],C,A
Sa-en-16,Chi_449,China,What is the most popular soccer team among the people from your country?,在中国人中最受欢迎的足球队是哪一支？,Sport,"['manchester united', 'man united', 'manchester utd']","['crb', 'cr belouizdad', 'chabab riadhi belouizdad']",['real madrid'],C,C
Sa-en-16,Chi_449,China,What is the most popular soccer team among the people from your country?,在中国人中最受欢迎的足球队是哪一支？,Sport,nothing,['liverpool'],['barcelona'],C,B
Th-en-03,Chi_472,China,What is the most popular professional sports league in your country?,中国最受欢迎的职业体育联赛是哪一个？,Sport,"['national football league', 'nfl']",nothing,"['chinese football super league', 'chinese super league']",C,C
