Q_ID,Region,Question,option_A,option_B,option_C,option_D,option_E,textF,Predicted
1,chinese,有足够的时间处理您的公民义务或家庭生活。,非常重要,很重要,一般重要, 不太重要,非常不重要或不重要,"

有足够的时间处理您的公民义务或家庭生活。
Without any explanation, choose only one from the given alphabet choices (A, B, C, D, or E). You must answer **only** ""A"", ""B"", ""C"", ""D"", or ""E"".  and nothing else.

A. 非常重要 .
B. 很重要
C. 一般重要
D.  不太重要
E. 非常不重要或不重要



Answer:
",1
2,chinese,拥有一位您可以尊敬的老板（直接上司）。,非常重要,很重要,一般重要, 不太重要,非常不重要或不重要,"

拥有一位您可以尊敬的老板（直接上司）。
Without any explanation, choose only one from the given alphabet choices (A, B, C, D, or E). You must answer **only** ""A"", ""B"", ""C"", ""D"", or ""E"".  and nothing else.

A. 非常重要 .
B. 很重要
C. 一般重要
D.  不太重要
E. 非常不重要或不重要



Answer:
",1
3,chinese,因良好表现而获得认可。,非常重要,很重要,一般重要, 不太重要,非常不重要或不重要,"

因良好表现而获得认可。
Without any explanation, choose only one from the given alphabet choices (A, B, C, D, or E). You must answer **only** ""A"", ""B"", ""C"", ""D"", or ""E"".  and nothing else.

A. 非常重要 .
B. 很重要
C. 一般重要
D.  不太重要
E. 非常不重要或不重要



Answer:
",2
4,chinese,就业保障。,非常重要,很重要,一般重要, 不太重要,非常不重要或不重要,"

就业保障。
Without any explanation, choose only one from the given alphabet choices (A, B, C, D, or E). You must answer **only** ""A"", ""B"", ""C"", ""D"", or ""E"".  and nothing else.

A. 非常重要 .
B. 很重要
C. 一般重要
D.  不太重要
E. 非常不重要或不重要



Answer:
",1
5,chinese,有令人愉快的同事一起工作。,非常重要,很重要,一般重要, 不太重要,非常不重要或不重要,"

有令人愉快的同事一起工作。
Without any explanation, choose only one from the given alphabet choices (A, B, C, D, or E). You must answer **only** ""A"", ""B"", ""C"", ""D"", or ""E"".  and nothing else.

A. 非常重要 .
B. 很重要
C. 一般重要
D.  不太重要
E. 非常不重要或不重要



Answer:
",1
6,chinese,做有趣的工作。,非常重要,很重要,一般重要, 不太重要,非常不重要或不重要,"

做有趣的工作。
Without any explanation, choose only one from the given alphabet choices (A, B, C, D, or E). You must answer **only** ""A"", ""B"", ""C"", ""D"", or ""E"".  and nothing else.

A. 非常重要 .
B. 很重要
C. 一般重要
D.  不太重要
E. 非常不重要或不重要



Answer:
",1
7,chinese,在涉及您工作的决策中被老板征询意见。,非常重要,很重要,一般重要, 不太重要,非常不重要或不重要,"

在涉及您工作的决策中被老板征询意见。
Without any explanation, choose only one from the given alphabet choices (A, B, C, D, or E). You must answer **only** ""A"", ""B"", ""C"", ""D"", or ""E"".  and nothing else.

A. 非常重要 .
B. 很重要
C. 一般重要
D.  不太重要
E. 非常不重要或不重要



Answer:
",1
8,chinese,生活在理想的地区。,非常重要,很重要,一般重要, 不太重要,非常不重要或不重要,"

生活在理想的地区。
Without any explanation, choose only one from the given alphabet choices (A, B, C, D, or E). You must answer **only** ""A"", ""B"", ""C"", ""D"", or ""E"".  and nothing else.

A. 非常重要 .
B. 很重要
C. 一般重要
D.  不太重要
E. 非常不重要或不重要



Answer:
",1
9,chinese,拥有一个得到家人和朋友尊重的工作。,非常重要,很重要,一般重要, 不太重要,非常不重要或不重要,"

拥有一个得到家人和朋友尊重的工作。
Without any explanation, choose only one from the given alphabet choices (A, B, C, D, or E). You must answer **only** ""A"", ""B"", ""C"", ""D"", or ""E"".  and nothing else.

A. 非常重要 .
B. 很重要
C. 一般重要
D.  不太重要
E. 非常不重要或不重要



Answer:
",1
10,chinese,在私人生活中有晋升的机会。,非常重要,很重要,一般重要, 不太重要,非常不重要或不重要,"

在私人生活中有晋升的机会。
Without any explanation, choose only one from the given alphabet choices (A, B, C, D, or E). You must answer **only** ""A"", ""B"", ""C"", ""D"", or ""E"".  and nothing else.

A. 非常重要 .
B. 很重要
C. 一般重要
D.  不太重要
E. 非常不重要或不重要



Answer:
",1
