cultur_val_ID,region_id,region,eng_question,question,topic,option_A,option_B,option_C,correct,textF,Predicted
Al-en-35,Ara_14,Arab,What do people do to celebrate Christmas in your country?,ماذا يفعل الناس للاحتفال بعيد الميلاد في الجزائر؟,Holidays/Celebration/Leisure,"['party', 'gathering']",nothing,"['give presents', 'give gifts']",B,"
What do people do to celebrate Christmas in your country?
Choose exactly one option (A, B, or C). Respond with exactly one letter: A, B, or C. No additional words or punctuation.

A. party and gathering
B. nothing
C. give presents and give gifts

Answer: ",C
Al-en-35,Ara_14,Arab,What do people do to celebrate Christmas in your country?,ماذا يفعل الناس للاحتفال بعيد الميلاد في الجزائر؟,Holidays/Celebration/Leisure,"['give presents', 'give gifts']",nothing,['have a big meal'],B,"
What do people do to celebrate Christmas in your country?
Choose exactly one option (A, B, or C). Respond with exactly one letter: A, B, or C. No additional words or punctuation.

A. give presents and give gifts
B. nothing
C. have a big meal

Answer: ",C
Kik-in-01,Ara_138,Arab,What national holiday has the longest duration in your country?,ما هو العيد الوطني الأطول مدة في الجزائر؟,Holidays/Celebration/Leisure,"['independence', 'independence day']",nothing,nothing,A,"
What national holiday has the longest duration in your country?
Choose exactly one option (A, B, or C). Respond with exactly one letter: A, B, or C. No additional words or punctuation.

A. independence and independence day
B. nothing
C. nothing

Answer: ",A
Kik-in-01,Ara_138,Arab,What national holiday has the longest duration in your country?,ما هو العيد الوطني الأطول مدة في الجزائر؟,Holidays/Celebration/Leisure,"['national day', '1st of october', 'october 1st']",['easter'],"['outbreak of the revolution', 'liberation revolution', 'outbreak of the algerian revolution', 'anniversary of the 1st november revolution', 'first of november', 'first day of november', '11/01', '11/1']",C,"
What national holiday has the longest duration in your country?
Choose exactly one option (A, B, or C). Respond with exactly one letter: A, B, or C. No additional words or punctuation.

A. national day and 1st of october and october 1st
B. easter
C. outbreak of the revolution and liberation revolution and outbreak of the algerian revolution and anniversary of the 1st november revolution and first of november and first day of november and 11/01 and 11/1

Answer: ",C
Kik-in-06,Ara_142,Arab,What event is usually held before a wedding in your country?,ما هو الحدث الذي يقام عادة قبل الزفاف في الجزائر؟,Holidays/Celebration/Leisure,['henna'],nothing,['engagement ceremony'],A,"
What event is usually held before a wedding in your country?
Choose exactly one option (A, B, or C). Respond with exactly one letter: A, B, or C. No additional words or punctuation.

A. henna
B. nothing
C. engagement ceremony

Answer: ",C
Kik-in-06,Ara_142,Arab,What event is usually held before a wedding in your country?,ما هو الحدث الذي يقام عادة قبل الزفاف في الجزائر؟,Holidays/Celebration/Leisure,['wedding photo shoot'],"['hen night', ""hen's do""]",['fatiha'],C,"
What event is usually held before a wedding in your country?
Choose exactly one option (A, B, or C). Respond with exactly one letter: A, B, or C. No additional words or punctuation.

A. wedding photo shoot
B. hen night and ""hens do""
C. fatiha

Answer: ",A
Na-ko-37,Ara_183,Arab,What is the most popular domestic vacation spot for people from your country?,ما هو أشهر مكان لقضاء العطلة داخل الجزائر بالنسبة للجزائريين؟,Holidays/Celebration/Leisure,"['bejaia', 'béjaïa', 'bougie', 'bugia']",['blackpool'],"['dali ancient town', 'dali']",A,"
What is the most popular domestic vacation spot for people from your country?
Choose exactly one option (A, B, or C). Respond with exactly one letter: A, B, or C. No additional words or punctuation.

A. bejaia and béjaïa and bougie and bugia
B. blackpool
C. dali ancient town and dali

Answer: ",B
Na-ko-37,Ara_183,Arab,What is the most popular domestic vacation spot for people from your country?,ما هو أشهر مكان لقضاء العطلة داخل الجزائر بالنسبة للجزائريين؟,Holidays/Celebration/Leisure,['jijel'],"['dali ancient town', 'dali']",['cornwall'],A,"
What is the most popular domestic vacation spot for people from your country?
Choose exactly one option (A, B, or C). Respond with exactly one letter: A, B, or C. No additional words or punctuation.

A. jijel
B. dali ancient town and dali
C. cornwall

Answer: ",C
Na-ko-38,Ara_184,Arab,What is the most common wedding gift between bride and groom in your country?,ما هو أكثر هدية زواج شائعة بين العروس والعريس في الجزائر؟,Holidays/Celebration/Leisure,['watch'],['gold jewelry'],"['gold', 'gold set']",C,"
What is the most common wedding gift between bride and groom in your country?
Choose exactly one option (A, B, or C). Respond with exactly one letter: A, B, or C. No additional words or punctuation.

A. watch
B. gold jewelry
C. gold and gold set

Answer: ",B
Na-ko-38,Ara_184,Arab,What is the most common wedding gift between bride and groom in your country?,ما هو أكثر هدية زواج شائعة بين العروس والعريس في الجزائر؟,Holidays/Celebration/Leisure,['necklace'],['wedding ring'],nothing,C,"
What is the most common wedding gift between bride and groom in your country?
Choose exactly one option (A, B, or C). Respond with exactly one letter: A, B, or C. No additional words or punctuation.

A. necklace
B. wedding ring
C. nothing

Answer: ",B
Na-ko-39,Ara_185,Arab,What is typically given as a congratulatory gesture when attending a friend's wedding in your country?,ماذا يُعطى عادة كبادرة تهنئة عند حضور زفاف صديق في الجزائر؟,Holidays/Celebration/Leisure,nothing,"['gifts', 'wedding gift', 'gift from the wedding list']",['utensils'],C,"
What is typically given as a congratulatory gesture when attending a friend's wedding in your country?
Choose exactly one option (A, B, or C). Respond with exactly one letter: A, B, or C. No additional words or punctuation.

A. nothing
B. gifts and wedding gift and gift from the wedding list
C. utensils

Answer: ",B
