cultur_val_ID,region_id,region,eng_question,question,topic,option_A,option_B,option_C,correct,textF,Predicted
Ca-sp-45,Ara_42,Arab,What type of destination is commonly chosen for a family vacation in your country?,أي وجهة يتم اختيارها عادة لقضاء عطلة عائلية في الجزائر؟,Family,nothing,"['countryside', 'country side']",['beach'],A,"
What type of destination is commonly chosen for a family vacation in your country?
Choose exactly one option (A, B, or C). Respond with exactly one letter: A, B, or C. No additional words or punctuation.

A. nothing
B. countryside and country side
C. beach

Answer: ",C
Ca-sp-45,Ara_42,Arab,What type of destination is commonly chosen for a family vacation in your country?,أي وجهة يتم اختيارها عادة لقضاء عطلة عائلية في الجزائر؟,Family,nothing,['popular city attractions'],['lake district'],A,"
What type of destination is commonly chosen for a family vacation in your country?
Choose exactly one option (A, B, or C). Respond with exactly one letter: A, B, or C. No additional words or punctuation.

A. nothing
B. popular city attractions
C. lake district

Answer: ",C
Ji-ko-24,Ara_68,Arab,What is the most preferred recreational facility among children in your country?,ما هي المرافق الترفيهية المفضلة لدى الأطفال في الجزائر؟,Family,['soft play'],"['amusement park', 'amusement parks']",['disney'],B,"
What is the most preferred recreational facility among children in your country?
Choose exactly one option (A, B, or C). Respond with exactly one letter: A, B, or C. No additional words or punctuation.

A. soft play
B. amusement park and amusement parks
C. disney

Answer: ",C
Ji-ko-24,Ara_68,Arab,What is the most preferred recreational facility among children in your country?,ما هي المرافق الترفيهية المفضلة لدى الأطفال في الجزائر؟,Family,['playground'],['disney'],"['sea', 'beach']",C,"
What is the most preferred recreational facility among children in your country?
Choose exactly one option (A, B, or C). Respond with exactly one letter: A, B, or C. No additional words or punctuation.

A. playground
B. disney
C. sea and beach

Answer: ",A
New-ko-04,Ara_363,Arab,Which toys are most popular among boys in your country?,ما هي الألعاب الأكثر شعبية بين الأولاد في الجزائر؟,Family,['hide and seek'],['car model'],"['toy cars', 'cars']",A,"
Which toys are most popular among boys in your country?
Choose exactly one option (A, B, or C). Respond with exactly one letter: A, B, or C. No additional words or punctuation.

A. hide and seek
B. car model
C. toy cars and cars

Answer: ",B
New-ko-04,Ara_363,Arab,Which toys are most popular among boys in your country?,ما هي الألعاب الأكثر شعبية بين الأولاد في الجزائر؟,Family,"['bead balls', 'beads']",['lego'],"['football', 'footballs', 'soccer ball']",A,"
Which toys are most popular among boys in your country?
Choose exactly one option (A, B, or C). Respond with exactly one letter: A, B, or C. No additional words or punctuation.

A. bead balls and beads
B. lego
C. football and footballs and soccer ball

Answer: ",B
New-pe-53,Ara_378,Arab,What gifts do fathers get on Father's Day (or Parents' Day) in your country?,ما هي الهدايا التي يحصل عليها الآباء في عيد الأب (أو عيد الوالدين) في الجزائر؟,Family,['aftershave'],['flower'],nothing,C,"
What gifts do fathers get on Father's Day (or Parents' Day) in your country?
Choose exactly one option (A, B, or C). Respond with exactly one letter: A, B, or C. No additional words or punctuation.

A. aftershave
B. flower
C. nothing

Answer: ",B
New-pe-53,Ara_378,Arab,What gifts do fathers get on Father's Day (or Parents' Day) in your country?,ما هي الهدايا التي يحصل عليها الآباء في عيد الأب (أو عيد الوالدين) في الجزائر؟,Family,['razor'],['card'],['perfume'],C,"
What gifts do fathers get on Father's Day (or Parents' Day) in your country?
Choose exactly one option (A, B, or C). Respond with exactly one letter: A, B, or C. No additional words or punctuation.

A. razor
B. card
C. perfume

Answer: ",B
New-spme-65,Ara_396,Arab,What is the most popular way to celebrate Independence Day in your country?,ما هي الطريقة الشائعة للاحتفال بعيد الاستقلال في الجزائر؟,Family,nothing,"['watching fireworks', 'firework']","['set off fireworks', 'fireworks']",B,"
What is the most popular way to celebrate Independence Day in your country?
Choose exactly one option (A, B, or C). Respond with exactly one letter: A, B, or C. No additional words or punctuation.

A. nothing
B. watching fireworks and firework
C. set off fireworks and fireworks

Answer: ",C
New-spme-65,Ara_396,Arab,What is the most popular way to celebrate Independence Day in your country?,ما هي الطريقة الشائعة للاحتفال بعيد الاستقلال في الجزائر؟,Family,"['go out for a trip', 'tourism', 'travel']",nothing,"['flag', 'hanging flags']",C,"
What is the most popular way to celebrate Independence Day in your country?
Choose exactly one option (A, B, or C). Respond with exactly one letter: A, B, or C. No additional words or punctuation.

A. go out for a trip and tourism and travel
B. nothing
C. flag and hanging flags

Answer: ",C
Sa-en-37,Ara_453,Arab,What is the most popular family boardgame in your country?,ما هي أشهر لعبة عائلية في الجزائر؟,Family,['ludo'],nothing,['fight the landlord'],B,"
What is the most popular family boardgame in your country?
Choose exactly one option (A, B, or C). Respond with exactly one letter: A, B, or C. No additional words or punctuation.

A. ludo
B. nothing
C. fight the landlord

Answer: ",C
Sa-en-37,Ara_453,Arab,What is the most popular family boardgame in your country?,ما هي أشهر لعبة عائلية في الجزائر؟,Family,nothing,['poker'],['ludo'],A,"
What is the most popular family boardgame in your country?
Choose exactly one option (A, B, or C). Respond with exactly one letter: A, B, or C. No additional words or punctuation.

A. nothing
B. poker
C. ludo

Answer: ",C
Th-en-36,Ara_484,Arab,What is a popular family activity with a child to do on weekends in your country?,ما هي النشاطات العائلية الشائعة التي يمكن القيام بها مع الأطفال في عطلة نهاية الأسبوع في الجزائر؟,Family,"['football', 'soccer']",nothing,['shopping'],B,"
What is a popular family activity with a child to do on weekends in your country?
Choose exactly one option (A, B, or C). Respond with exactly one letter: A, B, or C. No additional words or punctuation.

A. football and soccer
B. nothing
C. shopping

Answer: ",C
Th-en-36,Ara_484,Arab,What is a popular family activity with a child to do on weekends in your country?,ما هي النشاطات العائلية الشائعة التي يمكن القيام بها مع الأطفال في عطلة نهاية الأسبوع في الجزائر؟,Family,"['strolling', 'hiking', 'picnic', 'going out for a picnic to the forest or amusement parks']","['go to the zoo', 'zoo']","['go to the park', 'stroll in the park']",A,"
What is a popular family activity with a child to do on weekends in your country?
Choose exactly one option (A, B, or C). Respond with exactly one letter: A, B, or C. No additional words or punctuation.

A. strolling and hiking and picnic and going out for a picnic to the forest or amusement parks
B. go to the zoo and zoo
C. go to the park and stroll in the park

Answer: ",A
Ca-sp-41,Chi_39,China,Where do the dependent elderly usually live in your country?,在中国，需要依赖他人照顾的老年人通常住在哪里？,Family,nothing,"['rural hometown', 'rural area', 'countrysize']",['sheltered accomodation'],B,"
Where do the dependent elderly usually live in your country?
Choose exactly one option (A, B, or C). Respond with exactly one letter: A, B, or C. No additional words or punctuation.

A. nothing
B. rural hometown and rural area and countrysize
C. sheltered accomodation

Answer: ",C
Ca-sp-41,Chi_39,China,Where do the dependent elderly usually live in your country?,在中国，需要依赖他人照顾的老年人通常住在哪里？,Family,"[""children's home"", 'please take care of the nursing staff']",nothing,"['retirement homes', 'care homes']",A,"
Where do the dependent elderly usually live in your country?
Choose exactly one option (A, B, or C). Respond with exactly one letter: A, B, or C. No additional words or punctuation.

A. ""childrens home"" and please take care of the nursing staff
B. nothing
C. retirement homes and care homes

Answer: ",C
New-ch-49,Chi_282,China,What is the most common way for family members to communicate remotely in your country?,在中国，家庭成员远程交流最常用的方式是什么？,Family,['facebook'],nothing,['whatsapp'],B,"
What is the most common way for family members to communicate remotely in your country?
Choose exactly one option (A, B, or C). Respond with exactly one letter: A, B, or C. No additional words or punctuation.

A. facebook
B. nothing
C. whatsapp

Answer: ",C
New-ch-49,Chi_282,China,What is the most common way for family members to communicate remotely in your country?,在中国，家庭成员远程交流最常用的方式是什么？,Family,['whatsapp'],nothing,['social media'],B,"
What is the most common way for family members to communicate remotely in your country?
Choose exactly one option (A, B, or C). Respond with exactly one letter: A, B, or C. No additional words or punctuation.

A. whatsapp
B. nothing
C. social media

Answer: ",C
New-ch-51,Chi_283,China,What form of accommodation is typically booked for family trips in your country?,在中国，家庭旅行通常会预订哪种形式的住宿？,Family,"['hotel', 'hotels']","['hotel', 'hotels']",nothing,C,"
What form of accommodation is typically booked for family trips in your country?
Choose exactly one option (A, B, or C). Respond with exactly one letter: A, B, or C. No additional words or punctuation.

A. hotel and hotels
B. hotel and hotels
C. nothing

Answer: ",A
New-ch-51,Chi_283,China,What form of accommodation is typically booked for family trips in your country?,在中国，家庭旅行通常会预订哪种形式的住宿？,Family,['caravan'],['chalet'],['homestay'],C,"
What form of accommodation is typically booked for family trips in your country?
Choose exactly one option (A, B, or C). Respond with exactly one letter: A, B, or C. No additional words or punctuation.

A. caravan
B. chalet
C. homestay

Answer: ",C
New-ko-04,Chi_363,China,Which toys are most popular among boys in your country?,在中国，哪些玩具在男孩中最受欢迎？,Family,['car model'],"['football', 'footballs', 'soccer ball']","['bead balls', 'beads']",A,"
Which toys are most popular among boys in your country?
Choose exactly one option (A, B, or C). Respond with exactly one letter: A, B, or C. No additional words or punctuation.

A. car model
B. football and footballs and soccer ball
C. bead balls and beads

Answer: ",B
New-ko-04,Chi_363,China,Which toys are most popular among boys in your country?,在中国，哪些玩具在男孩中最受欢迎？,Family,"['bead balls', 'beads']",['ultraman'],['toy vehicles'],B,"
Which toys are most popular among boys in your country?
Choose exactly one option (A, B, or C). Respond with exactly one letter: A, B, or C. No additional words or punctuation.

A. bead balls and beads
B. ultraman
C. toy vehicles

Answer: ",C
New-ko-05,Chi_364,China,Which toys are most popular among girls in your country?,在中国，哪些玩具最受女孩们的欢迎？,Family,['barbie doll'],"['squares game', 'cube']",nothing,A,"
Which toys are most popular among girls in your country?
Choose exactly one option (A, B, or C). Respond with exactly one letter: A, B, or C. No additional words or punctuation.

A. barbie doll
B. squares game and cube
C. nothing

Answer: ",A
New-ko-05,Chi_364,China,Which toys are most popular among girls in your country?,在中国，哪些玩具最受女孩们的欢迎？,Family,['pretend kitchen toy'],"['jumping', 'jump']",nothing,A,"
Which toys are most popular among girls in your country?
Choose exactly one option (A, B, or C). Respond with exactly one letter: A, B, or C. No additional words or punctuation.

A. pretend kitchen toy
B. jumping and jump
C. nothing

Answer: ",C
