cultur_val_ID,region_id,region,eng_question,question,topic,option_A,option_B,option_C,correct,Predicted
Ji-ko-25,Wes_69,Western,What are the family-related holidays in your country?,What are the family-related holidays in the UK?,Family,['easter'],nothing,"['spring festival', 'chinese new year', 'lunar new year']",A,A
Ji-ko-25,Wes_69,Western,What are the family-related holidays in your country?,What are the family-related holidays in the UK?,Family,['mid-autumn festival'],nothing,['christmas'],C,C
New-am-74,Wes_228,Western,What is the most popular talk show in your country?,What is the most popular talk show in the UK?,Family,['loose women'],['morning guest'],['the jinxing show'],A,A
New-am-74,Wes_228,Western,What is the most popular talk show in your country?,What is the most popular talk show in the UK?,Family,['make progress every day'],['beyond the walls'],"['the graham norton show', 'graham norton show', 'graham norton']",C,C
New-ko-05,Wes_364,Western,Which toys are most popular among girls in your country?,Which toys are most popular among girls in the UK?,Family,"['doll', 'playing with dolls']",nothing,['doll'],B,A
New-ko-05,Wes_364,Western,Which toys are most popular among girls in your country?,Which toys are most popular among girls in the UK?,Family,['dolls'],"['jumping', 'jump']",['doll'],A,A
New-ko-06,Wes_365,Western,What is the most popular folk tale in your country that is typically told to children?,What is the most popular folk tale in the UK that is typically told to children?,Family,['journey to the west'],['tooth fairy'],"[""juha's stories"", 'juha stories', 'juha']",B,A
New-ko-06,Wes_365,Western,What is the most popular folk tale in your country that is typically told to children?,What is the most popular folk tale in the UK that is typically told to children?,Family,['the cowherd and the weaver girl'],"['hansel and gretel', 'hansel and gretal']",['qays and layla'],B,A
Sa-en-32,Wes_452,Western,What is the most popular family TV show in your country?,What is the most popular family TV show in the UK?,Family,['news simulcast'],['emmerdale'],"['el fhama', 'el fehama']",B,B
Sa-en-32,Wes_452,Western,What is the most popular family TV show in your country?,What is the most popular family TV show in the UK?,Family,['happy camp'],"['el fhama', 'el fehama']","['ant & dec', ""ant & dec's saturday night takeaway""]",C,C
Ca-sp-41,Chi_39,China,Where do the dependent elderly usually live in your country?,在中国，需要依赖他人照顾的老年人通常住在哪里？,Family,nothing,"['rural hometown', 'rural area', 'countrysize']",['sheltered accomodation'],B,C
