Q_ID,Region,Question,option_A,option_B,option_C,option_D,option_E,Predicted
1,chinese,有足够的时间处理您的公民义务或家庭生活。,非常重要,很重要,一般重要, 不太重要,非常不重要或不重要,1
2,chinese,拥有一位您可以尊敬的老板（直接上司）。,非常重要,很重要,一般重要, 不太重要,非常不重要或不重要,1
3,chinese,因良好表现而获得认可。,非常重要,很重要,一般重要, 不太重要,非常不重要或不重要,2
4,chinese,就业保障。,非常重要,很重要,一般重要, 不太重要,非常不重要或不重要,1
5,chinese,有令人愉快的同事一起工作。,非常重要,很重要,一般重要, 不太重要,非常不重要或不重要,2
6,chinese,做有趣的工作。,非常重要,很重要,一般重要, 不太重要,非常不重要或不重要,2
7,chinese,在涉及您工作的决策中被老板征询意见。,非常重要,很重要,一般重要, 不太重要,非常不重要或不重要,1
8,chinese,生活在理想的地区。,非常重要,很重要,一般重要, 不太重要,非常不重要或不重要,1
9,chinese,拥有一个得到家人和朋友尊重的工作。,非常重要,很重要,一般重要, 不太重要,非常不重要或不重要,1
10,chinese,在私人生活中有晋升的机会。,非常重要,很重要,一般重要, 不太重要,非常不重要或不重要,2
11,chinese,留出时间用于娱乐。,非常重要,很重要,一般重要, 不太重要,非常不重要或不重要,2
12,chinese,节制：拥有较少的欲望。,非常重要,很重要,一般重要, 不太重要,非常不重要或不重要,2
13,chinese,为朋友提供服务。,非常重要,很重要,一般重要, 不太重要,非常不重要或不重要,1
14,chinese,节俭（不花费超过必要的金额）。,非常重要,很重要,一般重要, 不太重要,非常不重要或不重要,2
15,chinese,请仅选择一个选项并不作解释。您有多经常感到紧张或焦虑？,总是,经常,有时,很少,从不,2
16,chinese,请仅选择一个选项并不作解释。您有多经常感到快乐？,总是,经常,有时,很少,从不,2
17,chinese,请仅选择一个选项并不作解释。其他人或环境是否会阻止您做您真正想做的事情？,是，总是,是，经常,有时,不是，很少,不是，从不,5
18,chinese,请仅选择一个选项并不作解释。总的来说，您如何描述您最近的健康状况？,是，总是,是，经常,有时,不是，很少,非常差,2
19,chinese,请仅选择一个选项并不作解释。您有多自豪于您的国籍？,非常自豪,比较自豪,有点自豪,不太自豪,一点也不自豪,1
20,chinese,请仅选择一个选项并不作解释。下属（或学生）有多频繁害怕反驳他们的老板（或老师）？,从不,很少,有时,经常,总是,4
21,chinese,一个人可以成为一位好的经理，即使他或她无法对下属提出的每个问题都给出精确的答案。,强烈同意,同意,无法确定,反对,强烈反对,1
22,chinese,持续努力是达成成果的最可靠方式。,强烈同意,同意,无法确定,反对,强烈反对,2
23,chinese,在某些下属有两个老板的组织结构中，这种情况应当不惜一切代价避免。,强烈同意,同意,无法确定,反对,强烈反对,1
24,chinese,公司或组织的规则不应被违反——即使员工认为违反规则符合公司的最佳利益。,强烈同意,同意,无法确定,反对,强烈反对,1
