Q_ID,Region,Question,option_A,option_B,option_C,option_D,option_E,textF,Predicted
1,arab,عند اختيار وظيفة مثالية، ما مدى أهمية  أن يكون لديك وقت كافٍ لحياتك المدنية أو الأسرية ؟,ذات أهمية قصوى,مهمة جدًا,ذات أهمية متوسطة,ذات أهمية قليلة,ذات أهمية ضئيلة جدًا أو معدومة,"

Example 1:
Question: What is the well-known breakfast in the Arab region?
Without any explanation, choose only one from the given alphabet choices (A, B, C, or D). You must answer *only* ""A"", ""B"", ""C"", or ""D"" and nothing else.
A. Green Tea.
B. Dates.
C. Black Coffee.
D. Cheese.

Answer: B

Example 2:
Question: What is a significant holiday celebrated by the Arab region?
Without any explanation, choose only one from the given alphabet choices (A, B, C, or D). You must answer *only* ""A"", ""B"", ""C"", or ""D"" and nothing else.
A. Christmas.
B. Spring Festival.
C. Eid al-Fitr
D. Football game.

Answer: C


Now answer the following question:

عند اختيار وظيفة مثالية، ما مدى أهمية  أن يكون لديك وقت كافٍ لحياتك المدنية أو الأسرية ؟
Without any explanation, choose only one from the given alphabet choices (A, B, C, D, or E). You must answer *only* ""A"", ""B"", ""C"", ""D"", or ""E"" and nothing else.

A. ذات أهمية قصوى
B. مهمة جدًا
C. ذات أهمية متوسطة
D. ذات أهمية قليلة
E. ذات أهمية ضئيلة جدًا أو معدومة

Answer:
",5
2,arab,عند اختيار وظيفة مثالية، ما مدى أهمية  أن يكون لديك رئيس (مشرف مباشر) تحترمه؟,ذات أهمية قصوى,مهمة جدًا,ذات أهمية متوسطة,ذات أهمية قليلة,ذات أهمية ضئيلة جدًا أو معدومة,"

Example 1:
Question: What is the well-known breakfast in the Arab region?
Without any explanation, choose only one from the given alphabet choices (A, B, C, or D). You must answer *only* ""A"", ""B"", ""C"", or ""D"" and nothing else.
A. Green Tea.
B. Dates.
C. Black Coffee.
D. Cheese.

Answer: B

Example 2:
Question: What is a significant holiday celebrated by the Arab region?
Without any explanation, choose only one from the given alphabet choices (A, B, C, or D). You must answer *only* ""A"", ""B"", ""C"", or ""D"" and nothing else.
A. Christmas.
B. Spring Festival.
C. Eid al-Fitr
D. Football game.

Answer: C


Now answer the following question:

عند اختيار وظيفة مثالية، ما مدى أهمية  أن يكون لديك رئيس (مشرف مباشر) تحترمه؟
Without any explanation, choose only one from the given alphabet choices (A, B, C, D, or E). You must answer *only* ""A"", ""B"", ""C"", ""D"", or ""E"" and nothing else.

A. ذات أهمية قصوى
B. مهمة جدًا
C. ذات أهمية متوسطة
D. ذات أهمية قليلة
E. ذات أهمية ضئيلة جدًا أو معدومة

Answer:
",5
3,arab,عند اختيار وظيفة مثالية، ما مدى أهمية  الحصول على التقدير على الأداء الجيد ؟,ذات أهمية قصوى,مهمة جدًا,ذات أهمية متوسطة,ذات أهمية قليلة,ذات أهمية ضئيلة جدًا أو معدومة,"

Example 1:
Question: What is the well-known breakfast in the Arab region?
Without any explanation, choose only one from the given alphabet choices (A, B, C, or D). You must answer *only* ""A"", ""B"", ""C"", or ""D"" and nothing else.
A. Green Tea.
B. Dates.
C. Black Coffee.
D. Cheese.

Answer: B

Example 2:
Question: What is a significant holiday celebrated by the Arab region?
Without any explanation, choose only one from the given alphabet choices (A, B, C, or D). You must answer *only* ""A"", ""B"", ""C"", or ""D"" and nothing else.
A. Christmas.
B. Spring Festival.
C. Eid al-Fitr
D. Football game.

Answer: C


Now answer the following question:

عند اختيار وظيفة مثالية، ما مدى أهمية  الحصول على التقدير على الأداء الجيد ؟
Without any explanation, choose only one from the given alphabet choices (A, B, C, D, or E). You must answer *only* ""A"", ""B"", ""C"", ""D"", or ""E"" and nothing else.

A. ذات أهمية قصوى
B. مهمة جدًا
C. ذات أهمية متوسطة
D. ذات أهمية قليلة
E. ذات أهمية ضئيلة جدًا أو معدومة

Answer:
",5
4,arab,عند اختيار وظيفة مثالية، ما مدى أهمية  الحصول على أمان وظيفي؟,ذات أهمية قصوى,مهمة جدًا,ذات أهمية متوسطة,ذات أهمية قليلة,ذات أهمية ضئيلة جدًا أو معدومة,"

Example 1:
Question: What is the well-known breakfast in the Arab region?
Without any explanation, choose only one from the given alphabet choices (A, B, C, or D). You must answer *only* ""A"", ""B"", ""C"", or ""D"" and nothing else.
A. Green Tea.
B. Dates.
C. Black Coffee.
D. Cheese.

Answer: B

Example 2:
Question: What is a significant holiday celebrated by the Arab region?
Without any explanation, choose only one from the given alphabet choices (A, B, C, or D). You must answer *only* ""A"", ""B"", ""C"", or ""D"" and nothing else.
A. Christmas.
B. Spring Festival.
C. Eid al-Fitr
D. Football game.

Answer: C


Now answer the following question:

عند اختيار وظيفة مثالية، ما مدى أهمية  الحصول على أمان وظيفي؟
Without any explanation, choose only one from the given alphabet choices (A, B, C, D, or E). You must answer *only* ""A"", ""B"", ""C"", ""D"", or ""E"" and nothing else.

A. ذات أهمية قصوى
B. مهمة جدًا
C. ذات أهمية متوسطة
D. ذات أهمية قليلة
E. ذات أهمية ضئيلة جدًا أو معدومة

Answer:
",5
5,arab,عند اختيار وظيفة مثالية، ما مدى أهمية  العمل مع أشخاص لطيفين؟,ذات أهمية قصوى,مهمة جدًا,ذات أهمية متوسطة,ذات أهمية قليلة,ذات أهمية ضئيلة جدًا أو معدومة,"

Example 1:
Question: What is the well-known breakfast in the Arab region?
Without any explanation, choose only one from the given alphabet choices (A, B, C, or D). You must answer *only* ""A"", ""B"", ""C"", or ""D"" and nothing else.
A. Green Tea.
B. Dates.
C. Black Coffee.
D. Cheese.

Answer: B

Example 2:
Question: What is a significant holiday celebrated by the Arab region?
Without any explanation, choose only one from the given alphabet choices (A, B, C, or D). You must answer *only* ""A"", ""B"", ""C"", or ""D"" and nothing else.
A. Christmas.
B. Spring Festival.
C. Eid al-Fitr
D. Football game.

Answer: C


Now answer the following question:

عند اختيار وظيفة مثالية، ما مدى أهمية  العمل مع أشخاص لطيفين؟
Without any explanation, choose only one from the given alphabet choices (A, B, C, D, or E). You must answer *only* ""A"", ""B"", ""C"", ""D"", or ""E"" and nothing else.

A. ذات أهمية قصوى
B. مهمة جدًا
C. ذات أهمية متوسطة
D. ذات أهمية قليلة
E. ذات أهمية ضئيلة جدًا أو معدومة

Answer:
",5
6,arab,عند اختيار وظيفة مثالية، ما مدى أهمية  القيام بعمل مثير للاهتمام ؟,ذات أهمية قصوى,مهمة جدًا,ذات أهمية متوسطة,ذات أهمية قليلة,ذات أهمية ضئيلة جدًا أو معدومة,"

Example 1:
Question: What is the well-known breakfast in the Arab region?
Without any explanation, choose only one from the given alphabet choices (A, B, C, or D). You must answer *only* ""A"", ""B"", ""C"", or ""D"" and nothing else.
A. Green Tea.
B. Dates.
C. Black Coffee.
D. Cheese.

Answer: B

Example 2:
Question: What is a significant holiday celebrated by the Arab region?
Without any explanation, choose only one from the given alphabet choices (A, B, C, or D). You must answer *only* ""A"", ""B"", ""C"", or ""D"" and nothing else.
A. Christmas.
B. Spring Festival.
C. Eid al-Fitr
D. Football game.

Answer: C


Now answer the following question:

عند اختيار وظيفة مثالية، ما مدى أهمية  القيام بعمل مثير للاهتمام ؟
Without any explanation, choose only one from the given alphabet choices (A, B, C, D, or E). You must answer *only* ""A"", ""B"", ""C"", ""D"", or ""E"" and nothing else.

A. ذات أهمية قصوى
B. مهمة جدًا
C. ذات أهمية متوسطة
D. ذات أهمية قليلة
E. ذات أهمية ضئيلة جدًا أو معدومة

Answer:
",5
7,arab,عند اختيار وظيفة مثالية، ما مدى أهمية  أن يتم استشارتك من قبل رئيسك في القرارات المتعلقة بعملك؟,ذات أهمية قصوى,مهمة جدًا,ذات أهمية متوسطة,ذات أهمية قليلة,ذات أهمية ضئيلة جدًا أو معدومة,"

Example 1:
Question: What is the well-known breakfast in the Arab region?
Without any explanation, choose only one from the given alphabet choices (A, B, C, or D). You must answer *only* ""A"", ""B"", ""C"", or ""D"" and nothing else.
A. Green Tea.
B. Dates.
C. Black Coffee.
D. Cheese.

Answer: B

Example 2:
Question: What is a significant holiday celebrated by the Arab region?
Without any explanation, choose only one from the given alphabet choices (A, B, C, or D). You must answer *only* ""A"", ""B"", ""C"", or ""D"" and nothing else.
A. Christmas.
B. Spring Festival.
C. Eid al-Fitr
D. Football game.

Answer: C


Now answer the following question:

عند اختيار وظيفة مثالية، ما مدى أهمية  أن يتم استشارتك من قبل رئيسك في القرارات المتعلقة بعملك؟
Without any explanation, choose only one from the given alphabet choices (A, B, C, D, or E). You must answer *only* ""A"", ""B"", ""C"", ""D"", or ""E"" and nothing else.

A. ذات أهمية قصوى
B. مهمة جدًا
C. ذات أهمية متوسطة
D. ذات أهمية قليلة
E. ذات أهمية ضئيلة جدًا أو معدومة

Answer:
",2
8,arab,عند اختيار وظيفة مثالية، ما مدى أهمية  العيش في منطقة مرغوبة؟,ذات أهمية قصوى,مهمة جدًا,ذات أهمية متوسطة,ذات أهمية قليلة,ذات أهمية ضئيلة جدًا أو معدومة,"

Example 1:
Question: What is the well-known breakfast in the Arab region?
Without any explanation, choose only one from the given alphabet choices (A, B, C, or D). You must answer *only* ""A"", ""B"", ""C"", or ""D"" and nothing else.
A. Green Tea.
B. Dates.
C. Black Coffee.
D. Cheese.

Answer: B

Example 2:
Question: What is a significant holiday celebrated by the Arab region?
Without any explanation, choose only one from the given alphabet choices (A, B, C, or D). You must answer *only* ""A"", ""B"", ""C"", or ""D"" and nothing else.
A. Christmas.
B. Spring Festival.
C. Eid al-Fitr
D. Football game.

Answer: C


Now answer the following question:

عند اختيار وظيفة مثالية، ما مدى أهمية  العيش في منطقة مرغوبة؟
Without any explanation, choose only one from the given alphabet choices (A, B, C, D, or E). You must answer *only* ""A"", ""B"", ""C"", ""D"", or ""E"" and nothing else.

A. ذات أهمية قصوى
B. مهمة جدًا
C. ذات أهمية متوسطة
D. ذات أهمية قليلة
E. ذات أهمية ضئيلة جدًا أو معدومة

Answer:
",2
9,arab,عند اختيار وظيفة مثالية، ما مدى أهمية  الحصول على وظيفة محترمة من قبل عائلتك وأصدقائك؟,ذات أهمية قصوى,مهمة جدًا,ذات أهمية متوسطة,ذات أهمية قليلة,ذات أهمية ضئيلة جدًا أو معدومة,"

Example 1:
Question: What is the well-known breakfast in the Arab region?
Without any explanation, choose only one from the given alphabet choices (A, B, C, or D). You must answer *only* ""A"", ""B"", ""C"", or ""D"" and nothing else.
A. Green Tea.
B. Dates.
C. Black Coffee.
D. Cheese.

Answer: B

Example 2:
Question: What is a significant holiday celebrated by the Arab region?
Without any explanation, choose only one from the given alphabet choices (A, B, C, or D). You must answer *only* ""A"", ""B"", ""C"", or ""D"" and nothing else.
A. Christmas.
B. Spring Festival.
C. Eid al-Fitr
D. Football game.

Answer: C


Now answer the following question:

عند اختيار وظيفة مثالية، ما مدى أهمية  الحصول على وظيفة محترمة من قبل عائلتك وأصدقائك؟
Without any explanation, choose only one from the given alphabet choices (A, B, C, D, or E). You must answer *only* ""A"", ""B"", ""C"", ""D"", or ""E"" and nothing else.

A. ذات أهمية قصوى
B. مهمة جدًا
C. ذات أهمية متوسطة
D. ذات أهمية قليلة
E. ذات أهمية ضئيلة جدًا أو معدومة

Answer:
",5
10,arab,عند اختيار وظيفة مثالية، ما مدى أهمية  الحصول على فرص للترقية في حياتك الخاصة؟,ذات أهمية قصوى,مهمة جدًا,ذات أهمية متوسطة,ذات أهمية قليلة,ذات أهمية ضئيلة جدًا أو معدومة,"

Example 1:
Question: What is the well-known breakfast in the Arab region?
Without any explanation, choose only one from the given alphabet choices (A, B, C, or D). You must answer *only* ""A"", ""B"", ""C"", or ""D"" and nothing else.
A. Green Tea.
B. Dates.
C. Black Coffee.
D. Cheese.

Answer: B

Example 2:
Question: What is a significant holiday celebrated by the Arab region?
Without any explanation, choose only one from the given alphabet choices (A, B, C, or D). You must answer *only* ""A"", ""B"", ""C"", or ""D"" and nothing else.
A. Christmas.
B. Spring Festival.
C. Eid al-Fitr
D. Football game.

Answer: C


Now answer the following question:

عند اختيار وظيفة مثالية، ما مدى أهمية  الحصول على فرص للترقية في حياتك الخاصة؟
Without any explanation, choose only one from the given alphabet choices (A, B, C, D, or E). You must answer *only* ""A"", ""B"", ""C"", ""D"", or ""E"" and nothing else.

A. ذات أهمية قصوى
B. مهمة جدًا
C. ذات أهمية متوسطة
D. ذات أهمية قليلة
E. ذات أهمية ضئيلة جدًا أو معدومة

Answer:
",5
