cultur_val_ID,region_id,region,eng_question,question,topic,option_A,option_B,option_C,correct,textF,Predicted
Jod-ch-04,Ara_102,Arab,What soft drink do people in your country like to have?,أي مشروب غازي يفضله الناس في الجزائر؟,Food,"['cola', 'coke']",['lemonade'],"['hammoud boualem', 'hamoud boualem']",C,"
What soft drink do people in your country like to have?
Choose exactly one option (A, B, or C). Respond with exactly one letter: A, B, or C. No additional words or punctuation.

A. cola and coke
B. lemonade
C. hammoud boualem and hamoud boualem

Answer: ",A
Jod-ch-04,Ara_102,Arab,What soft drink do people in your country like to have?,أي مشروب غازي يفضله الناس في الجزائر؟,Food,"['milk tea', 'bubble tea']",['selecto'],['pepsi'],B,"
What soft drink do people in your country like to have?
Choose exactly one option (A, B, or C). Respond with exactly one letter: A, B, or C. No additional words or punctuation.

A. milk tea and bubble tea
B. selecto
C. pepsi

Answer: ",C
Jod-ch-12,Ara_106,Arab,What kind of soup do people from your country like to have?,أي نوع من الحساء يحبه الناس في الجزائر؟,Food,['lentil'],['fresh soup'],"['chorba soup', 'shourba frik', 'shourba soup']",C,"
What kind of soup do people from your country like to have?
Choose exactly one option (A, B, or C). Respond with exactly one letter: A, B, or C. No additional words or punctuation.

A. lentil
B. fresh soup
C. chorba soup and shourba frik and shourba soup

Answer: ",A
Jod-ch-12,Ara_106,Arab,What kind of soup do people from your country like to have?,أي نوع من الحساء يحبه الناس في الجزائر؟,Food,['pork bone soup'],['tomato'],nothing,C,"
What kind of soup do people from your country like to have?
Choose exactly one option (A, B, or C). Respond with exactly one letter: A, B, or C. No additional words or punctuation.

A. pork bone soup
B. tomato
C. nothing

Answer: ",A
Jod-ch-13,Ara_107,Arab,What street food do people from your country like to eat?,أي نوع من الأكلات الشعبية يحب الجزائريون تناولها؟,Food,['couscous'],"['fish and chips', 'fish & chips']",['roasted sausage'],A,"
What street food do people from your country like to eat?
Choose exactly one option (A, B, or C). Respond with exactly one letter: A, B, or C. No additional words or punctuation.

A. couscous
B. fish and chips and fish & chips
C. roasted sausage

Answer: ",C
Jod-ch-13,Ara_107,Arab,What street food do people from your country like to eat?,أي نوع من الأكلات الشعبية يحب الجزائريون تناولها؟,Food,['candied haw'],"['chakhchoukha', 'chekhechoukha']",['burgers'],B,"
What street food do people from your country like to eat?
Choose exactly one option (A, B, or C). Respond with exactly one letter: A, B, or C. No additional words or punctuation.

A. candied haw
B. chakhchoukha and chekhechoukha
C. burgers

Answer: ",A
Ki-pe-39,Ara_133,Arab,What food is usually prepared for a family picnic in your country?,ما هي الأطعمة التي يتم إعدادها عادة لنزهة عائلية في الجزائر؟,Food,['sandwich'],"['sandwiches', 'sandwich']",['fruit'],B,"
What food is usually prepared for a family picnic in your country?
Choose exactly one option (A, B, or C). Respond with exactly one letter: A, B, or C. No additional words or punctuation.

A. sandwich
B. sandwiches and sandwich
C. fruit

Answer: ",A
Ki-pe-39,Ara_133,Arab,What food is usually prepared for a family picnic in your country?,ما هي الأطعمة التي يتم إعدادها عادة لنزهة عائلية في الجزائر؟,Food,['chicken'],['sandwich'],['fruit'],A,"
What food is usually prepared for a family picnic in your country?
Choose exactly one option (A, B, or C). Respond with exactly one letter: A, B, or C. No additional words or punctuation.

A. chicken
B. sandwich
C. fruit

Answer: ",A
Na-ko-04,Ara_162,Arab,What is the preferred hangover cure food for people from your country?,ما هو الطعام المفضل لعلاج صداع الخمر لدى الشعب الجزائري؟,Food,['tea'],nothing,['hair of the dog'],B,"
What is the preferred hangover cure food for people from your country?
Choose exactly one option (A, B, or C). Respond with exactly one letter: A, B, or C. No additional words or punctuation.

A. tea
B. nothing
C. hair of the dog

Answer: ",C
Na-ko-04,Ara_162,Arab,What is the preferred hangover cure food for people from your country?,ما هو الطعام المفضل لعلاج صداع الخمر لدى الشعب الجزائري؟,Food,nothing,['hair of the dog'],['honey water'],A,"
What is the preferred hangover cure food for people from your country?
Choose exactly one option (A, B, or C). Respond with exactly one letter: A, B, or C. No additional words or punctuation.

A. nothing
B. hair of the dog
C. honey water

Answer: ",C
