Q_ID,Region,Question,option_A,option_B,option_C,option_D,option_E,textF,Predicted
1,western,have sufficient time for your citizenl or home life?,of utmost importance,very important,moderate importance,of little importance, of very little or no importance,"

have sufficient time for your citizenl or home life?
Without any explanation, choose only one from the given alphabet choices (A, B, C, D, or E). You must answer **only** ""A"", ""B"", ""C"", ""D"", or ""E"".  and nothing else.

A. of utmost importance .
B. very important
C. moderate importance
D. of little importance
E.  of very little or no importance



Answer:
",1
2,western,have a boss (direct superior) you can respect?,of utmost importance,very important,moderate importance,of little importance, of very little or no importance,"

have a boss (direct superior) you can respect?
Without any explanation, choose only one from the given alphabet choices (A, B, C, D, or E). You must answer **only** ""A"", ""B"", ""C"", ""D"", or ""E"".  and nothing else.

A. of utmost importance .
B. very important
C. moderate importance
D. of little importance
E.  of very little or no importance



Answer:
",1
3,western,get recognition for good performance?,of utmost importance,very important,moderate importance,of little importance, of very little or no importance,"

get recognition for good performance?
Without any explanation, choose only one from the given alphabet choices (A, B, C, D, or E). You must answer **only** ""A"", ""B"", ""C"", ""D"", or ""E"".  and nothing else.

A. of utmost importance .
B. very important
C. moderate importance
D. of little importance
E.  of very little or no importance



Answer:
",1
4,western,have security of employment?,of utmost importance,very important,moderate importance,of little importance, of very little or no importance,"

have security of employment?
Without any explanation, choose only one from the given alphabet choices (A, B, C, D, or E). You must answer **only** ""A"", ""B"", ""C"", ""D"", or ""E"".  and nothing else.

A. of utmost importance .
B. very important
C. moderate importance
D. of little importance
E.  of very little or no importance



Answer:
",1
5,western, have pleasant people to work with?,of utmost importance,very important,moderate importance,of little importance, of very little or no importance,"

 have pleasant people to work with?
Without any explanation, choose only one from the given alphabet choices (A, B, C, D, or E). You must answer **only** ""A"", ""B"", ""C"", ""D"", or ""E"".  and nothing else.

A. of utmost importance .
B. very important
C. moderate importance
D. of little importance
E.  of very little or no importance



Answer:
",1
6,western, do work that is interesting?,of utmost importance,very important,moderate importance,of little importance, of very little or no importance,"

 do work that is interesting?
Without any explanation, choose only one from the given alphabet choices (A, B, C, D, or E). You must answer **only** ""A"", ""B"", ""C"", ""D"", or ""E"".  and nothing else.

A. of utmost importance .
B. very important
C. moderate importance
D. of little importance
E.  of very little or no importance



Answer:
",1
7,western,be consulted by your boss in decisions involving your work?,of utmost importance,very important,moderate importance,of little importance, of very little or no importance,"

be consulted by your boss in decisions involving your work?
Without any explanation, choose only one from the given alphabet choices (A, B, C, D, or E). You must answer **only** ""A"", ""B"", ""C"", ""D"", or ""E"".  and nothing else.

A. of utmost importance .
B. very important
C. moderate importance
D. of little importance
E.  of very little or no importance



Answer:
",1
8,western,live in a desirable area?,of utmost importance,very important,moderate importance,of little importance, of very little or no importance,"

live in a desirable area?
Without any explanation, choose only one from the given alphabet choices (A, B, C, D, or E). You must answer **only** ""A"", ""B"", ""C"", ""D"", or ""E"".  and nothing else.

A. of utmost importance .
B. very important
C. moderate importance
D. of little importance
E.  of very little or no importance



Answer:
",1
9,western, have a job respected by your family and friends?,of utmost importance,very important,moderate importance,of little importance, of very little or no importance,"

 have a job respected by your family and friends?
Without any explanation, choose only one from the given alphabet choices (A, B, C, D, or E). You must answer **only** ""A"", ""B"", ""C"", ""D"", or ""E"".  and nothing else.

A. of utmost importance .
B. very important
C. moderate importance
D. of little importance
E.  of very little or no importance



Answer:
",1
10,western,have chances for promotion in your private life?,of utmost importance,very important,moderate importance,of little importance, of very little or no importance,"

have chances for promotion in your private life?
Without any explanation, choose only one from the given alphabet choices (A, B, C, D, or E). You must answer **only** ""A"", ""B"", ""C"", ""D"", or ""E"".  and nothing else.

A. of utmost importance .
B. very important
C. moderate importance
D. of little importance
E.  of very little or no importance



Answer:
",1
11,western,keeping time free for fun?,of utmost importance,very important,moderate importance,of little importance, of very little or no importance,"

keeping time free for fun?
Without any explanation, choose only one from the given alphabet choices (A, B, C, D, or E). You must answer **only** ""A"", ""B"", ""C"", ""D"", or ""E"".  and nothing else.

A. of utmost importance .
B. very important
C. moderate importance
D. of little importance
E.  of very little or no importance



Answer:
",1
12,western,moderation: having few desires?,of utmost importance,very important,moderate importance,of little importance, of very little or no importance,"

moderation: having few desires?
Without any explanation, choose only one from the given alphabet choices (A, B, C, D, or E). You must answer **only** ""A"", ""B"", ""C"", ""D"", or ""E"".  and nothing else.

A. of utmost importance .
B. very important
C. moderate importance
D. of little importance
E.  of very little or no importance



Answer:
",3
