cultur_val_ID,region_id,region,eng_question,question,topic,option_A,option_B,option_C,correct,textF,Predicted
An-ar-36,Ara_27,Arab,What is the most popular sport team in your country?,ما هو أشهر فريق رياضي في الجزائر؟,Sport,nothing,['liverpool'],['national diving team'],A,"
What is the most popular sport team in your country?
Choose exactly one option (A, B, or C). Respond with exactly one letter: A, B, or C. No additional words or punctuation.

A. nothing
B. liverpool
C. national diving team

Answer: ",B
An-ar-36,Ara_27,Arab,What is the most popular sport team in your country?,ما هو أشهر فريق رياضي في الجزائر؟,Sport,['manchester city'],"['ping pong team', 'table tennis team']",nothing,C,"
What is the most popular sport team in your country?
Choose exactly one option (A, B, or C). Respond with exactly one letter: A, B, or C. No additional words or punctuation.

A. manchester city
B. ping pong team and table tennis team
C. nothing

Answer: ",C
Jo-sp-02,Ara_88,Arab,What is the most popular sport played without a ball in your country?,ما هي أشهر رياضة تُلعب بدون كرة في الجزائر؟,Sport,['poker'],['boxing'],['chess'],B,"
What is the most popular sport played without a ball in your country?
Choose exactly one option (A, B, or C). Respond with exactly one letter: A, B, or C. No additional words or punctuation.

A. poker
B. boxing
C. chess

Answer: ",C
Jo-sp-02,Ara_88,Arab,What is the most popular sport played without a ball in your country?,ما هي أشهر رياضة تُلعب بدون كرة في الجزائر؟,Sport,['running'],['frisby'],['swimming'],A,"
What is the most popular sport played without a ball in your country?
Choose exactly one option (A, B, or C). Respond with exactly one letter: A, B, or C. No additional words or punctuation.

A. running
B. frisby
C. swimming

Answer: ",C
Kik-in-36,Ara_154,Arab,Who is the most popular soccer coach in your country?,من هو أشهر مدرب كرة قدم في الجزائر؟,Sport,['brendan rodgers'],['li feng building'],"['ben sheikh', 'ben cheikh', 'ali bencheikh', 'ali ""alilou"" bencheikh']",C,"
Who is the most popular soccer coach in your country?
Choose exactly one option (A, B, or C). Respond with exactly one letter: A, B, or C. No additional words or punctuation.

A. brendan rodgers
B. li feng building
C. ben sheikh and ben cheikh and ali bencheikh and ali ""alilou"" bencheikh

Answer: ",C
Kik-in-36,Ara_154,Arab,Who is the most popular soccer coach in your country?,من هو أشهر مدرب كرة قدم في الجزائر؟,Sport,['brendan rodgers'],"['halilhodžić', 'vahid halilhodžić', 'vahid halilhodzic']",['milu'],B,"
Who is the most popular soccer coach in your country?
Choose exactly one option (A, B, or C). Respond with exactly one letter: A, B, or C. No additional words or punctuation.

A. brendan rodgers
B. halilhodžić and vahid halilhodžić and vahid halilhodzic
C. milu

Answer: ",C
Na-ko-20,Ara_173,Arab,What sports event do people from your country passionately support the most in international competitions?,أي حدث رياضي يتابعه الجزائريون بشغف في المنافسات الدولية؟,Sport,['swimming'],['basketball'],"['world cup', 'fifa world cup']",C,"
What sports event do people from your country passionately support the most in international competitions?
Choose exactly one option (A, B, or C). Respond with exactly one letter: A, B, or C. No additional words or punctuation.

A. swimming
B. basketball
C. world cup and fifa world cup

Answer: ",C
Na-ko-20,Ara_173,Arab,What sports event do people from your country passionately support the most in international competitions?,أي حدث رياضي يتابعه الجزائريون بشغف في المنافسات الدولية؟,Sport,['table tennis'],['swimming'],"['african cup of nations', 'africa cup of nations', 'caf']",C,"
What sports event do people from your country passionately support the most in international competitions?
Choose exactly one option (A, B, or C). Respond with exactly one letter: A, B, or C. No additional words or punctuation.

A. table tennis
B. swimming
C. african cup of nations and africa cup of nations and caf

Answer: ",C
New-ch-16,Ara_268,Arab,What is the most famous sports-related movie in your country?,ما هو أشهر فيلم عن الرياضة في الجزائر؟,Sport,['women basketball team member no. 5'],"['the brothers grimsby', 'brothers of grimsby']",nothing,C,"
What is the most famous sports-related movie in your country?
Choose exactly one option (A, B, or C). Respond with exactly one letter: A, B, or C. No additional words or punctuation.

A. women basketball team member no. 5
B. the brothers grimsby and brothers of grimsby
C. nothing

Answer: ",C
New-ch-16,Ara_268,Arab,What is the most famous sports-related movie in your country?,ما هو أشهر فيلم عن الرياضة في الجزائر؟,Sport,['ferrari'],nothing,['women basketball team member no. 5'],B,"
What is the most famous sports-related movie in your country?
Choose exactly one option (A, B, or C). Respond with exactly one letter: A, B, or C. No additional words or punctuation.

A. ferrari
B. nothing
C. women basketball team member no. 5

Answer: ",C
