cultur_val_ID,region_id,region,eng_question,question,topic,option_A,option_B,option_C,correct,Predicted
Jo-sp-19,Wes_93,Western,What region in your country has been traditionally associated with agriculture?,What region in the UK has been traditionally associated with agriculture?,Work life,['yorkshire'],['henan'],['mitidja'],A,A
Jo-sp-19,Wes_93,Western,What region in your country has been traditionally associated with agriculture?,What region in the UK has been traditionally associated with agriculture?,Work life,"['northeast', 'northeast plain']",['oxfordshire'],['mitidja'],B,A
Jod-ch-54,Wes_120,Western,"How long (in days) is the marriage leave in your country? (Provide Arabic numerals (e.g., 12) only.)","How long (in days) is the marriage leave in the UK? (Provide Arabic numerals (e.g., 12) only.)",Work life,nothing,['4'],['14'],C,C
Jod-ch-54,Wes_120,Western,"How long (in days) is the marriage leave in your country? (Provide Arabic numerals (e.g., 12) only.)","How long (in days) is the marriage leave in the UK? (Provide Arabic numerals (e.g., 12) only.)",Work life,['0'],['3'],['4'],A,B
Jod-ch-58,Wes_123,Western,Which profession is the most respected in your country?,Which profession is the most respected in the UK?,Work life,"['fireman', 'firefighter']",['firefighter'],['police'],C,A
Jod-ch-58,Wes_123,Western,Which profession is the most respected in your country?,Which profession is the most respected in the UK?,Work life,['firefighter'],"['doctor', 'doctors']",nothing,B,A
New-ch-38,Wes_278,Western,Which cities or regions are known for their import and export activities in your country?,Which cities or regions are known for their import and export activities in the UK?,Work life,['kent'],['shenzhen'],['algiers'],A,A
New-ch-38,Wes_278,Western,Which cities or regions are known for their import and export activities in your country?,Which cities or regions are known for their import and export activities in the UK?,Work life,['london'],['qingdao'],"['arzew', 'arzeu']",A,A
New-ch-44,Wes_280,Western,"How long is the typical probation period for new employees before signing a formal contract in your country? (e.g., 1 month).","How long is the typical probation period for new employees before signing a formal contract in the UK? (e.g., 1 month).",Work life,"['two years', '2 years']",nothing,"['6 weeks', '4-6 weeks', '6', 'six weeks']",C,C
New-ch-44,Wes_280,Western,"How long is the typical probation period for new employees before signing a formal contract in your country? (e.g., 1 month).","How long is the typical probation period for new employees before signing a formal contract in the UK? (e.g., 1 month).",Work life,nothing,"['12 months', 'twelve months']","['2 weeks', 'two weeks']",C,C
New-ch-45,Wes_281,Western,Which industries do young people typically choose to start businesses in your country?,Which industries do young people typically choose to start businesses in the UK?,Work life,"['clothes', 'clothing', 'garment']",['media'],['technology'],B,A
New-ch-45,Wes_281,Western,Which industries do young people typically choose to start businesses in your country?,Which industries do young people typically choose to start businesses in the UK?,Work life,"['clothes', 'clothing', 'garment']","['social media', 'social media or fashion']",['technology'],B,A
New-in-33,Wes_354,Western,What region in your country is usually associated with mining?,What region in the UK is usually associated with mining?,Work life,"['annaba', 'bon', 'bona', 'bône']",['yorkshire'],['panzhihua'],B,B
New-in-33,Wes_354,Western,What region in your country is usually associated with mining?,What region in the UK is usually associated with mining?,Work life,['panzhihua'],"['el hajar', 'el hadjar']",['north'],C,C
Th-en-19,Wes_478,Western,What is a city or region in your country known for manufacturing industry?,What is a city or region in the UK known for manufacturing industry?,Work life,['blida'],['sheffield'],['shenzhen'],B,B
Th-en-19,Wes_478,Western,What is a city or region in your country known for manufacturing industry?,What is a city or region in the UK known for manufacturing industry?,Work life,['blida'],['shenzhen'],['lancashire'],C,C
Th-en-21,Wes_479,Western,What is regarded as the most important perk typically offered to employees in your country?,What is regarded as the most important perk typically offered to employees in the UK?,Work life,['salary'],['pension'],['five insurances and one fund'],B,A
Th-en-21,Wes_479,Western,What is regarded as the most important perk typically offered to employees in your country?,What is regarded as the most important perk typically offered to employees in the UK?,Work life,['free lunches'],['marriage and maternity leave'],"['allowance', 'productivity bonus', 'bonus']",A,A
Ji-ko-09,Chi_62,China,What do people typically eat during company get-together in your country?,在中国的公司聚会上，人们通常吃些什么？,Work life,['meat'],['cakes'],['hot dishes'],C,A
Ji-ko-09,Chi_62,China,What do people typically eat during company get-together in your country?,在中国的公司聚会上，人们通常吃些什么？,Work life,['meat'],['barbecue'],"['buffet', 'buffet food']",B,A
Ji-ko-14,Chi_63,China,What is the representative export item of your country?,中国的代表性出口商品是什么？,Work life,['cars'],['textile'],nothing,B,A
Ji-ko-14,Chi_63,China,What is the representative export item of your country?,中国的代表性出口商品是什么？,Work life,nothing,['rice'],nothing,B,B
Jo-sp-19,Chi_93,China,What region in your country has been traditionally associated with agriculture?,在中国，哪个地区传统上与农业有关？,Work life,"['ain defla', 'aïn defla']","['northeast', 'northeast plain']",['wales'],B,A
Jo-sp-19,Chi_93,China,What region in your country has been traditionally associated with agriculture?,在中国，哪个地区传统上与农业有关？,Work life,['yorkshire'],['north china plain'],nothing,B,B
Jod-ch-62,Chi_126,China,Which occupation is most preferred among males in your country?,在中国，男性最偏爱哪种职业？,Work life,['lawyer'],nothing,['investment bank'],C,A
Jod-ch-62,Chi_126,China,Which occupation is most preferred among males in your country?,在中国，男性最偏爱哪种职业？,Work life,"['programmer', 'software engineer']",['lawyer'],['commerce'],A,A
New-am-53,Chi_222,China,Which region in your country is widely known for its coffee/tea industry?,中国的哪个地区因其咖啡/茶叶产业而广为人知？,Work life,nothing,['hangzhou'],nothing,B,B
New-am-53,Chi_222,China,Which region in your country is widely known for its coffee/tea industry?,中国的哪个地区因其咖啡/茶叶产业而广为人知？,Work life,['henan'],nothing,nothing,A,A
New-am-54,Chi_223,China,Which region in your country is widely known for its livestock industry?,中国的哪个地区因其畜牧业而广为人知？,Work life,['west country'],nothing,['henan'],C,A
New-am-54,Chi_223,China,Which region in your country is widely known for its livestock industry?,中国的哪个地区因其畜牧业而广为人知？,Work life,['west country'],['inner mongolia'],nothing,B,B
New-am-59,Chi_224,China,What is the main occupation of people living in deserts in your country?,居住在中国沙漠中的人们的主要职业是什么？,Work life,nothing,['agriculture'],['environmental protection'],C,B
New-am-59,Chi_224,China,What is the main occupation of people living in deserts in your country?,居住在中国沙漠中的人们的主要职业是什么？,Work life,nothing,nothing,"['farmer', 'farming']",C,C
New-ch-38,Chi_278,China,Which cities or regions are known for their import and export activities in your country?,中国有哪些以进出口闻名的城市或地区？,Work life,['kent'],"['arzew', 'arzeu']",['shanghai'],C,C
New-ch-38,Chi_278,China,Which cities or regions are known for their import and export activities in your country?,中国有哪些以进出口闻名的城市或地区？,Work life,"['coastal ports', 'coast']",['kent'],['qingdao'],C,A
New-ch-45,Chi_281,China,Which industries do young people typically choose to start businesses in your country?,在中国，年轻人通常选择哪些行业创业？,Work life,['catering'],"['clothes', 'clothing', 'garment']","['information technology', 'it industry']",C,A
New-ch-45,Chi_281,China,Which industries do young people typically choose to start businesses in your country?,在中国，年轻人通常选择哪些行业创业？,Work life,"['commerce', 'commercial']",['creative'],['technology'],C,A
New-in-33,Chi_354,China,What region in your country is usually associated with mining?,在中国，通常与采矿业相关联的是哪个地区？,Work life,['sahara'],['liaoning'],['yorkshire'],B,A
New-in-33,Chi_354,China,What region in your country is usually associated with mining?,在中国，通常与采矿业相关联的是哪个地区？,Work life,['shanxi'],['midlands'],"['el hajar', 'el hadjar']",A,A
New-su-57,Chi_414,China,What is the most common livestock raised in your country?,在中国最常见的家畜是什么？,Work life,['cattle'],['lamb'],['dog'],C,A
New-su-57,Chi_414,China,What is the most common livestock raised in your country?,在中国最常见的家畜是什么？,Work life,['lamb'],['sheep'],['chicken'],C,B
New-su-60,Chi_417,China,What do farmers in your country usually eat for lunch?,中国的农民通常午饭吃什么？,Work life,['vegetable'],['sandwiches'],['corn'],C,A
New-su-60,Chi_417,China,What do farmers in your country usually eat for lunch?,中国的农民通常午饭吃什么？,Work life,['rice'],['pie and chips'],"['butter milk', 'leben', 'laban', 'liben', 'lben', 'buttermilk']",A,A
