Q_ID,Region,Question,option_A,option_B,option_C,option_D,option_E,Predicted
1,arab,عند اختيار وظيفة مثالية، ما مدى أهمية  أن يكون لديك وقت كافٍ لحياتك المدنية أو الأسرية ؟,ذات أهمية قصوى,مهمة جدًا,ذات أهمية متوسطة,ذات أهمية قليلة,ذات أهمية ضئيلة جدًا أو معدومة,2
2,arab,عند اختيار وظيفة مثالية، ما مدى أهمية  أن يكون لديك رئيس (مشرف مباشر) تحترمه؟,ذات أهمية قصوى,مهمة جدًا,ذات أهمية متوسطة,ذات أهمية قليلة,ذات أهمية ضئيلة جدًا أو معدومة,2
3,arab,عند اختيار وظيفة مثالية، ما مدى أهمية  الحصول على التقدير على الأداء الجيد ؟,ذات أهمية قصوى,مهمة جدًا,ذات أهمية متوسطة,ذات أهمية قليلة,ذات أهمية ضئيلة جدًا أو معدومة,2
4,arab,عند اختيار وظيفة مثالية، ما مدى أهمية  الحصول على أمان وظيفي؟,ذات أهمية قصوى,مهمة جدًا,ذات أهمية متوسطة,ذات أهمية قليلة,ذات أهمية ضئيلة جدًا أو معدومة,2
5,arab,عند اختيار وظيفة مثالية، ما مدى أهمية  العمل مع أشخاص لطيفين؟,ذات أهمية قصوى,مهمة جدًا,ذات أهمية متوسطة,ذات أهمية قليلة,ذات أهمية ضئيلة جدًا أو معدومة,2
6,arab,عند اختيار وظيفة مثالية، ما مدى أهمية  القيام بعمل مثير للاهتمام ؟,ذات أهمية قصوى,مهمة جدًا,ذات أهمية متوسطة,ذات أهمية قليلة,ذات أهمية ضئيلة جدًا أو معدومة,2
7,arab,عند اختيار وظيفة مثالية، ما مدى أهمية  أن يتم استشارتك من قبل رئيسك في القرارات المتعلقة بعملك؟,ذات أهمية قصوى,مهمة جدًا,ذات أهمية متوسطة,ذات أهمية قليلة,ذات أهمية ضئيلة جدًا أو معدومة,2
8,arab,عند اختيار وظيفة مثالية، ما مدى أهمية  العيش في منطقة مرغوبة؟,ذات أهمية قصوى,مهمة جدًا,ذات أهمية متوسطة,ذات أهمية قليلة,ذات أهمية ضئيلة جدًا أو معدومة,2
9,arab,عند اختيار وظيفة مثالية، ما مدى أهمية  الحصول على وظيفة محترمة من قبل عائلتك وأصدقائك؟,ذات أهمية قصوى,مهمة جدًا,ذات أهمية متوسطة,ذات أهمية قليلة,ذات أهمية ضئيلة جدًا أو معدومة,2
10,arab,عند اختيار وظيفة مثالية، ما مدى أهمية  الحصول على فرص للترقية في حياتك الخاصة؟,ذات أهمية قصوى,مهمة جدًا,ذات أهمية متوسطة,ذات أهمية قليلة,ذات أهمية ضئيلة جدًا أو معدومة,2
11,arab,في حياتك الشخصية، ما مدى أهمية تخصيص وقت للترفيه؟,ذات أهمية قصوى,مهمة جدًا,ذات أهمية متوسطة,ذات أهمية قليلة,ذات أهمية ضئيلة جدًا أو معدومة,2
12,arab,في حياتك الشخصية، ما مدى أهمية الاعتدال: امتلاك رغبات قليلة؟,ذات أهمية قصوى,مهمة جدًا,ذات أهمية متوسطة,ذات أهمية قليلة,ذات أهمية ضئيلة جدًا أو معدومة,4
13,arab,في حياتك الشخصية، ما مدى أهمية  تقديم خدمة لصديق؟,ذات أهمية قصوى,مهمة جدًا,ذات أهمية متوسطة,ذات أهمية قليلة,ذات أهمية ضئيلة جدًا أو معدومة,2
14,arab,في حياتك الشخصية، ما مدى أهمية  التوفير (عدم الإنفاق أكثر من اللازم)؟,ذات أهمية قصوى,مهمة جدًا,ذات أهمية متوسطة,ذات أهمية قليلة,ذات أهمية ضئيلة جدًا أو معدومة,2
15,arab,اختر إجابة واحدة فقط دون تفسير أو تبرير. ما مدى اتفاق الناس أو اختلافهم مع أن يكون الشخص مديرًا جيدًا حتى لو لم يكن لديه إجابة دقيقة لكل سؤال قد يطرحه مرؤوسه حول عمله؟,أوافق بشدة,أوافق,غير متأكد,أعارض,أعارض بشدة,1
16,arab,اختر إجابة واحدة فقط دون تفسير أو تبرير. ما مدى اتفاق الناس أو اختلافهم مع ان الجهود المستمرة هي الطريقة الأكثر موثوقية لتحقيق النتائج؟,أوافق بشدة,أوافق,غير متأكد,أعارض,أعارض بشدة,1
17,arab,اختر إجابة واحدة فقط دون تفسير أو تبرير. ما مدى اتفاق الناس أو اختلافهم مع ان يجب تجنب هيكل تنظيمي يكون فيه لبعض المرؤوسين رئيسان بأي ثمن.,أوافق بشدة,أوافق,غير متأكد,أعارض,أعارض بشدة,1
18,arab,اختر إجابة واحدة فقط دون تفسير أو تبرير. ما مدى اتفاق الناس أو اختلافهم مع ان لا ينبغي كسر قواعد الشركة أو المؤسسة - حتى لو اعتقد الموظف أن كسر القواعد سيكون في مصلحة المنظمة.,أوافق بشدة,أوافق,غير متأكد,أعارض,أعارض بشدة,1
19,arab, اختر إجابة واحدة فقط دون تفسير. كم مرة تشعر بالتوتر أو القلق؟,دائمًا,غالبًا,أحيانًا,نادرًا,أبدًا,1
20,arab, اختر إجابة واحدة فقط دون تفسير. كم مرة تشعر بالسعادة؟,دائمًا,غالبًا,أحيانًا,نادرًا,أبدًا,3
21,arab, اختر إجابة واحدة فقط دون تفسير. هل يمنعك الآخرون أو الظروف من فعل ما تريد حقًا؟,نعم، دائمًا,نعم، غالبًا,أحيانًا,لا، نادرًا,لا، أبدًا,1
22,arab, اختر إجابة واحدة فقط دون تفسير. بشكل عام، كيف تصف حالتك الصحية هذه الأيام؟,جيدة جدًا,جيدة,متوسطة,سيئة,سيئة جدًا,1
23,arab,اختر إجابة واحدة فقط دون تفسير. ما مدى فخرك بجنسيتك؟,فخور جدًا,فخور إلى حد كبير,فخور إلى حد ما,لست فخورًا جدًا,لست فخورًا على الإطلاق,1
24,arab, اختر إجابة واحدة فقط دون تفسير. كم مرة يخشى المرؤوسون معارضة رئيسهم (أو الطلاب معلميهم)؟,دائمًا,غالبًا,أحيانًا,نادرًا,أبدًا,1
